ShipType,ShipName,mmsi,timestamp,course,speed,longitude,latitude,higher_types,radius,sonar
Other,NA,100000478,2022-12-13 00:05:39 UTC,93.8,0,122.6713183,37.387845,OTHER,5000,2000
Other,NA,100000478,2022-12-13 01:06:21 UTC,59.2,0.1,122.6715283,37.38783,OTHER,5000,2000
Other,NA,100000478,2022-12-13 02:51:29 UTC,42.7,0.2,122.6712983,37.38746667,OTHER,5000,2000
Other,NA,100000478,2022-12-13 04:10:13 UTC,300.6,1.3,122.6693083,37.388605,OTHER,5000,2000
Other,NA,100000478,2022-12-13 04:27:19 UTC,301.6,0.5,122.6704583,37.38812333,OTHER,5000,2000
Other,NA,100000478,2022-12-13 10:23:39 UTC,356,2.1,122.67146,37.38949667,OTHER,5000,2000
Other,NA,100000478,2022-12-13 10:45:15 UTC,168.7,1.7,122.672175,37.38538167,OTHER,5000,2000
Other,NA,100000478,2022-12-13 17:26:27 UTC,34.8,2.8,122.673945,37.39029333,OTHER,5000,2000
Other,NA,100000478,2022-12-13 21:10:31 UTC,60.9,1.1,122.6729883,37.38786667,OTHER,5000,2000
Other,NA,100000478,2022-12-13 21:41:53 UTC,259.8,0.7,122.6715833,37.38719333,OTHER,5000,2000
Other,NA,100000478,2022-12-13 22:13:39 UTC,50.3,2,122.67315,37.388845,OTHER,5000,2000
Other,NA,100000478,2022-12-13 22:17:50 UTC,113,1.4,122.6729,37.38690833,OTHER,5000,2000
Other,NA,100000788,2022-12-13 01:17:35 UTC,321.8,2.5,122.65518,37.42140833,OTHER,5000,2000
Other,NA,100000788,2022-12-13 01:27:59 UTC,248.9,1.5,122.654485,37.41958167,OTHER,5000,2000
Other,NA,100000788,2022-12-13 08:02:08 UTC,34.2,1.3,122.657605,37.42079167,OTHER,5000,2000
Other,NA,100000788,2022-12-13 09:10:02 UTC,171.1,1.5,122.656275,37.41933833,OTHER,5000,2000
Other,NA,100000788,2022-12-13 09:45:59 UTC,249.7,0.6,122.655745,37.41981333,OTHER,5000,2000
Other,NA,100000788,2022-12-13 10:54:43 UTC,187.3,0.6,122.6581533,37.42011,OTHER,5000,2000
Other,NA,100000788,2022-12-13 11:57:25 UTC,96.3,3.1,122.6602967,37.41923,OTHER,5000,2000
Other,NA,100000788,2022-12-13 12:12:12 UTC,101.4,1.1,122.65683,37.419385,OTHER,5000,2000
Other,NA,100000788,2022-12-13 15:31:31 UTC,26.4,1,122.6570517,37.41970833,OTHER,5000,2000
Other,NA,100000788,2022-12-13 16:11:20 UTC,188.8,0.6,122.6564033,37.41824167,OTHER,5000,2000
Other,NA,100000788,2022-12-13 18:18:43 UTC,181.3,0.7,122.6566383,37.418215,OTHER,5000,2000
Other,NA,100000790,2022-12-13 00:23:25 UTC,302.6,0.3,122.6554533,37.42065,OTHER,5000,2000
Other,NA,100000790,2022-12-13 01:32:11 UTC,330.7,0.7,122.6555883,37.420695,OTHER,5000,2000
Other,NA,100000790,2022-12-13 03:55:29 UTC,232,0.2,122.6554267,37.41994167,OTHER,5000,2000
Other,NA,100000790,2022-12-13 08:49:21 UTC,123,6.1,122.6622017,37.416685,OTHER,5000,2000
Other,NA,100000790,2022-12-13 09:18:15 UTC,94.4,0.2,122.6544683,37.42077667,OTHER,5000,2000
Other,NA,100000790,2022-12-13 11:11:27 UTC,180.8,1.6,122.6559183,37.41763,OTHER,5000,2000
Other,NA,100000790,2022-12-13 12:44:41 UTC,111.4,0.9,122.6566983,37.41893,OTHER,5000,2000
Other,NA,100000790,2022-12-13 13:01:31 UTC,276.9,1.5,122.6539417,37.41977333,OTHER,5000,2000
Other,NA,100000790,2022-12-13 17:30:19 UTC,60.3,0.3,122.6570567,37.41998667,OTHER,5000,2000
Other,NA,100000790,2022-12-13 17:38:49 UTC,65.1,1,122.6579983,37.41994333,OTHER,5000,2000
Other,NA,100000790,2022-12-13 17:43:53 UTC,123.5,0.4,122.6557867,37.41949667,OTHER,5000,2000
Other,NA,100000790,2022-12-13 20:04:18 UTC,241.4,0,122.6556133,37.41950667,OTHER,5000,2000
Other,NA,100000790,2022-12-13 20:39:12 UTC,41.8,0.6,122.655455,37.419385,OTHER,5000,2000
Other,NA,100001142,2022-12-13 00:02:39 UTC,75.5,1.8,122.386745,36.86539333,OTHER,5000,2000
Other,NA,100001142,2022-12-13 00:47:39 UTC,296.8,0.1,122.3842767,36.865075,OTHER,5000,2000
Other,NA,100001142,2022-12-13 02:07:12 UTC,310.1,0,122.384445,36.864475,OTHER,5000,2000
Other,NA,100001142,2022-12-13 02:14:37 UTC,254.5,0.1,122.3846867,36.86453833,OTHER,5000,2000
Other,NA,100001142,2022-12-13 02:20:38 UTC,97.1,1,122.385835,36.86438,OTHER,5000,2000
Other,NA,100001142,2022-12-13 05:22:01 UTC,188.9,1.2,122.3841567,36.86349333,OTHER,5000,2000
Other,NA,100001142,2022-12-13 06:31:37 UTC,88.1,0.8,122.3857383,36.86461,OTHER,5000,2000
Other,NA,100001142,2022-12-13 07:42:02 UTC,41.1,1.1,122.385595,36.86572333,OTHER,5000,2000
Other,NA,100001142,2022-12-13 09:46:10 UTC,120.1,0.3,122.3850433,36.86449833,OTHER,5000,2000
Other,NA,100001142,2022-12-13 11:05:37 UTC,91.6,1.9,122.3871267,36.86409333,OTHER,5000,2000
Other,NA,100001142,2022-12-13 11:10:09 UTC,95.6,2.9,122.3949217,36.86359333,OTHER,5000,2000
Other,NA,100001142,2022-12-13 11:28:14 UTC,130.2,0.1,122.39767,36.86429667,OTHER,5000,2000
Other,NA,100001142,2022-12-13 11:51:50 UTC,247.1,1.5,122.3964467,36.86364333,OTHER,5000,2000
Other,NA,100001142,2022-12-13 11:57:42 UTC,245.2,0.6,122.3971417,36.86387167,OTHER,5000,2000
Other,NA,100001142,2022-12-13 12:17:57 UTC,214.4,1.2,122.3963867,36.862555,OTHER,5000,2000
Other,NA,100001142,2022-12-13 12:26:17 UTC,164.8,3.2,122.4019833,36.85251333,OTHER,5000,2000
Other,NA,100001384,2022-12-13 00:19:03 UTC,323,0.4,122.6585917,37.41905,OTHER,5000,2000
Other,NA,100001384,2022-12-13 02:56:27 UTC,152.2,0.1,122.65839,37.41964167,OTHER,5000,2000
Other,NA,100001384,2022-12-13 03:32:39 UTC,34.7,1.4,122.6595683,37.42087167,OTHER,5000,2000
Other,NA,100001384,2022-12-13 04:16:55 UTC,300,1.7,122.65652,37.42011167,OTHER,5000,2000
Other,NA,100001384,2022-12-13 04:33:07 UTC,139.6,2.7,122.65979,37.41774167,OTHER,5000,2000
Other,NA,100001384,2022-12-13 05:50:29 UTC,218.1,0.1,122.6595567,37.41920667,OTHER,5000,2000
Other,NA,100001384,2022-12-13 05:58:39 UTC,29,0.3,122.6597133,37.41953,OTHER,5000,2000
