시간,유닛 고유번호,유닛 이름,제대,위도,경도,인원,보유장비,인원 대비 전투력 가용률(명),장비 가용률(%),탄약 보급량(%),연료 보급량(%),사기 점수(0~100),임무현황
0,kpa_001,KPA_LEADER,중대,95.2,194.9,7000,소총,7000,100,100,100,100,prepare
0,kpa_002,KPA_SECURITY,분대,449.1,254.3,300,소총,300,100,100,100,100,prepare
0,kpa_003,KPA_SECURITY2,소대,51.6,190.9,1500,소총,1500,100,100,100,100,prepare
0,kpa_004,KPA_SUPPORT,분대원,197.8,181.9,60,소총,60,100,100,100,100,prepare
0,kpa_005,KPA_SUPPORT2,분대,204.3,254.3,300,소총,300,100,100,100,100,prepare
0,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,100,100,100,prepare
0,kpa_007,KPA_BACKUP,소대,46,223.5,1500,소총,1500,100,100,100,100,prepare
1,kpa_001,KPA_LEADER,중대,95.2,194.9,7000,소총,7000,100,100,100,100,prepare
1,kpa_002,KPA_SECURITY,분대,428.9,221.6,300,소총,300,100,100,95,100,move
1,kpa_003,KPA_SECURITY2,소대,63.7,144.8,1500,소총,1500,100,100,95,100,move
1,kpa_004,KPA_SUPPORT,분대원,197.8,181.9,60,소총,60,100,100,100,100,prepare
1,kpa_005,KPA_SUPPORT2,분대,204.3,254.3,300,소총,300,100,100,100,100,prepare
1,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,100,100,100,prepare
1,kpa_007,KPA_BACKUP,소대,46,223.5,1500,소총,1500,100,100,100,100,prepare
2,kpa_001,KPA_LEADER,중대,95.2,194.9,7000,소총,7000,100,100,100,100,prepare
2,kpa_002,KPA_SECURITY,분대,442.6,186.8,300,소총,300,100,100,90,100,move
2,kpa_003,KPA_SECURITY2,소대,94.4,110.9,1500,소총,1500,100,100,90,100,move
2,kpa_004,KPA_SUPPORT,분대원,197.8,181.9,60,소총,60,100,100,100,100,prepare
2,kpa_005,KPA_SUPPORT2,분대,204.3,254.3,300,소총,300,100,100,100,100,prepare
2,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,100,100,100,prepare
2,kpa_007,KPA_BACKUP,소대,46,223.5,1500,소총,1500,100,100,100,100,prepare
3,kpa_001,KPA_LEADER,중대,95.2,194.9,7000,소총,7000,100,100,100,100,prepare
3,kpa_002,KPA_SECURITY,분대,420,165.8,300,소총,300,100,100,85,100,move
3,kpa_003,KPA_SECURITY2,소대,134,99.6,1500,소총,1500,100,100,85,100,move
3,kpa_004,KPA_SUPPORT,분대원,197.8,181.9,60,소총,60,100,100,100,100,prepare
3,kpa_005,KPA_SUPPORT2,분대,222.1,245.8,300,소총,300,100,100,95,100,move
3,kpa_006,KPA_ARTILLERY,소대,138.9,239.7,1500,박격포,1500,100,100,100,100,prepare
3,kpa_007,KPA_BACKUP,소대,,,1500,소총,1500,100,100,100,100,prepare
4,kpa_001,KPA_LEADER,중대,95.2,194.9,7000,소총,7000,100,100,100,100,prepare
