시간,적 부대식별,유닛 이름,추정위도,추정경도,추정 규모,최근활동,위협도,정보신뢰도,정보출처
0,rok_001,ROK_LEADER,378.8,55.2,연대,기동으로 추정,1,10,
0,rok_002,ROK_SECURITY,350.4,95.9,중대,기동으로 추정,1,10,
0,rok_003,ROK_SECURITY2,295.1,49.5,중대,기동으로 추정,1,10,
1,rok_001,ROK_LEADER,361.8,62.2,연대,기동으로 추정,1,10,
1,rok_002,ROK_SECURITY,336.1,108,중대,기동으로 추정,1,10,
1,rok_003,ROK_SECURITY2,288.5,66.8,중대,기동으로 추정,1,10,
2,rok_001,ROK_LEADER,357.8,77.2,연대,기동으로 추정,1,10,
2,rok_002,ROK_SECURITY,332.4,129.3,중대,기동으로 추정,1,10,
2,rok_003,ROK_SECURITY2,276.2,80.9,중대,기동으로 추정,1,10,
3,rok_001,ROK_LEADER,366.8,85.2,연대,기동,2,95,KPA_SECURITY
3,rok_002,ROK_SECURITY,322.4,150.2,중대,기동,2,95,KPA_SECURITY
3,rok_003,ROK_SECURITY2,256.1,87.5,중대,기동으로 추정,1,10,
4,rok_001,ROK_LEADER,355.2,110.1,연대,기동,1,95,KPA_SECURITY
4,rok_002,ROK_SECURITY,310.4,165.6,중대,기동,2,95,KPA_SECURITY
4,rok_003,ROK_SECURITY2,253.1,110.5,중대,기동,2,95,KPA_SECURITY2
5,rok_001,ROK_LEADER,355.2,110.1,연대,대기,1,95,KPA_SECURITY
5,rok_002,ROK_SECURITY,310.4,165.6,중대,대기,4,95,KPA_SECURITY
5,rok_003,ROK_SECURITY2,253.1,110.5,중대,대기,3,95,KPA_SECURITY2
6,rok_001,ROK_LEADER,355.2,110.1,연대,대기,2,95,KPA_SECURITY
6,rok_002,ROK_SECURITY,310.4,165.6,중대,교전,5,95,KPA_SECURITY
6,rok_003,ROK_SECURITY2,253.1,110.5,중대,교전,4,95,KPA_SECURITY2
7,rok_001,ROK_LEADER,355.2,110.1,연대,대기,1,95,KPA_SECURITY
7,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
7,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
8,rok_001,ROK_LEADER,355.2,110.1,연대,대기,1,95,KPA_SECURITY
8,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
8,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
9,rok_001,ROK_LEADER,355.2,110.1,연대,대기,1,95,KPA_SECURITY
9,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
9,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
10,rok_001,ROK_LEADER,355.2,110.1,연대,무력화,1,95,KPA_SECURITY
10,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
10,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
11,rok_001,ROK_LEADER,355.2,110.1,연대,무력화,1,95,KPA_SECURITY
11,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
11,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
12,rok_001,ROK_LEADER,355.2,110.1,연대,무력화,1,95,KPA_SECURITY
12,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
12,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
13,rok_001,ROK_LEADER,355.2,110.1,연대,무력화,1,95,KPA_SECURITY
13,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
13,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
14,rok_001,ROK_LEADER,355.2,110.1,연대,무력화,1,95,KPA_SECURITY
14,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
14,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
15,rok_001,ROK_LEADER,355.2,110.1,연대,무력화,1,95,KPA_SECURITY
15,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
15,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
