시간,적부대식별,유닛이름,추정위도,추정경도,추정 규모,최근활동,위협도,정보신뢰도,정보출처
9,rok_001,ROK_LEADER,378.8,55.2,연대,기동으로 추정,1,10,
9,rok_002,ROK_SECURITY,350.4,95.9,중대,기동으로 추정,1,10,
9,rok_003,ROK_SECURITY2,295.1,49.5,중대,기동으로 추정,1,10,
10,rok_001,ROK_LEADER,361.8,62.2,연대,기동으로 추정,1,10,
10,rok_002,ROK_SECURITY,336.1,108,중대,기동으로 추정,1,10,
10,rok_003,ROK_SECURITY2,288.5,66.8,중대,기동으로 추정,1,10,
11,rok_001,ROK_LEADER,357.8,77.2,연대,기동으로 추정,1,10,
11,rok_002,ROK_SECURITY,332.4,129.3,중대,기동으로 추정,1,10,
11,rok_003,ROK_SECURITY2,276.2,80.9,중대,기동으로 추정,1,10,
12,rok_001,ROK_LEADER,366.8,85.2,연대,기동,2,95,KPA_SECURITY
12,rok_002,ROK_SECURITY,322.4,150.2,중대,기동,2,95,KPA_SECURITY
12,rok_003,ROK_SECURITY2,256.1,87.5,중대,기동으로 추정,1,10,
13,rok_001,ROK_LEADER,355.2,110.1,연대,기동,1,95,KPA_SECURITY
13,rok_002,ROK_SECURITY,310.4,165.6,중대,기동,2,95,KPA_SECURITY
13,rok_003,ROK_SECURITY2,253.1,110.5,중대,기동,2,95,KPA_SECURITY2
14,rok_001,ROK_LEADER,355.2,110.1,연대,대기,1,95,KPA_SECURITY
14,rok_002,ROK_SECURITY,310.4,165.6,중대,대기,4,95,KPA_SECURITY
14,rok_003,ROK_SECURITY2,253.1,110.5,중대,대기,3,95,KPA_SECURITY2
15,rok_001,ROK_LEADER,355.2,110.1,연대,대기,2,95,KPA_SECURITY
15,rok_002,ROK_SECURITY,310.4,165.6,중대,교전,5,95,KPA_SECURITY
15,rok_003,ROK_SECURITY2,253.1,110.5,중대,교전,4,95,KPA_SECURITY2
16,rok_001,ROK_LEADER,355.2,110.1,연대,대기,1,95,KPA_SECURITY
16,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
16,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
17,rok_001,ROK_LEADER,355.2,110.1,연대,대기,1,95,KPA_SECURITY
17,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
17,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
18,rok_001,ROK_LEADER,355.2,110.1,연대,대기,1,95,KPA_SECURITY
18,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
18,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
19,rok_001,ROK_LEADER,355.2,110.1,연대,무력화,1,95,KPA_SECURITY
19,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
19,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
20,rok_001,ROK_LEADER,355.2,110.1,연대,무력화,1,95,KPA_SECURITY
20,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
20,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
21,rok_001,ROK_LEADER,355.2,110.1,연대,무력화,1,95,KPA_SECURITY
21,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
21,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
22,rok_001,ROK_LEADER,355.2,110.1,연대,무력화,1,95,KPA_SECURITY
22,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
22,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
23,rok_001,ROK_LEADER,355.2,110.1,연대,무력화,1,95,KPA_SECURITY
23,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
23,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
24,rok_001,ROK_LEADER,355.2,110.1,연대,무력화,1,95,KPA_SECURITY
24,rok_002,ROK_SECURITY,310.4,165.6,중대,전멸,1,95,KPA_SECURITY
24,rok_003,ROK_SECURITY2,253.1,110.5,중대,전멸,1,95,KPA_SECURITY2
