시간,KPA_SOF x좌표,KPA_SOF y좌표,KPA_SOF 방향,KPA_SOF 가시거리,KPA_SOF 탐지거리,KPA_SOF 전파감도,KPA_SOF 체력,KPA_EW x좌표,KPA_EW y좌표,KPA_EW 방향,KPA_EW 가시거리,KPA_EW 탐지거리,KPA_EW 전파감도,KPA_EW 체력,KPA_FS x좌표,KPA_FS y좌표,KPA_FS 방향,KPA_FS 가시거리,KPA_FS 탐지거리,KPA_FS 전파감도,KPA_FS 체력,ROK_SCOUTS x좌표,ROK_SCOUTS y좌표,ROK_SCOUTS 방향,ROK_SCOUTS 가시거리,ROK_SCOUTS 탐지거리,ROK_SCOUTS 전파감도,ROK_SCOUTS 체력,ROK_MAIN x좌표,ROK_MAIN y좌표,ROK_MAIN 방향,ROK_MAIN 가시거리,ROK_MAIN 탐지거리,ROK_MAIN 전파감도,ROK_MAIN 체력,ROK_EW x좌표,ROK_EW y좌표,ROK_EW 방향,ROK_EW 가시거리,ROK_EW 탐지거리,ROK_EW 전파감도,ROK_EW 체력
0,180,94,,,,,,196.6,47.5,,,,,,260,110,,,,,,,,,,,,,,,,,,,,,,,,,,
1,180,94,,,,,,196.6,47.5,,,,,,260,110,,,,,,,,,,,,,,,,,,,,,,,,,,
2,191,105,,,,,,196.6,47.5,,,,,,260,110,,,,,,,,,,,,,,,,,,,,,,,,,,
3,203,110,,,,,,196.6,47.5,,,,,,260,110,,,,,,,,,,,,,,,,,,,,,,,,,,
4,190,112,,,,,,196.6,47.5,,,,,,260,110,,,,,,,,,,,,,,,,,,,,,,,,,,
5,203,110,,,,,,196.6,47.5,,,,,,260,110,,,,,,,,,,,,,,,,,,,,,,,,,,
6,190,112,,,,,,196.6,47.5,,,,,,260,110,,,,,,,,,,,,,,,,,,,,,,,,,,
7,190,112,,,,,,196.6,47.5,,,,,,260,110,,,,,,,,,,,,,,,,,,,,,,,,,,
8,190,112,,,,,,196.6,47.5,,,,,,260,110,,,,,,,,,,,,,,,,,,,,,,,,,,
9,190,112,,,,,,196.6,47.5,,,,,,260,110,,,,,,,,,,,,,,,,,,,,,,,,,,
10,190,112,,,,,,196.6,47.5,,,,,,260,110,,,,,,,,,,,,,,,,,,,,,,,,,,
