시간,유닛고유번호,유닛이름,제대,위도,경도,인원,보유장비,전투가용인원,장비가용률,탄약보급량,연료보급량,사기점수,임무현황
0,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
0,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
0,kpa_003,KPA_MECHANIZED3,소대,343,628,24,기관포,24,100,100,100,100,prepare
0,kpa_004,KPA_MECHANIZED4,소대,454,615,24,기관포,24,100,100,100,100,prepare
0,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,100,100,100,prepare
0,kpa_006,KPA_MECHANIZED6,소대,1081,559,24,기관포,24,100,100,100,100,prepare
0,kpa_007,KPA_MECHANIZED7,소대,1211,586,24,기관포,24,100,100,100,100,prepare
0,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
0,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
0,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,100,100,100,prepare
0,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
0,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
1,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
1,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
1,kpa_003,KPA_MECHANIZED3,소대,343,628,24,기관포,24,100,100,100,100,prepare
1,kpa_004,KPA_MECHANIZED4,소대,454,615,24,기관포,24,100,100,100,100,prepare
1,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,100,100,100,prepare
1,kpa_006,KPA_MECHANIZED6,소대,1081,559,24,기관포,24,100,100,100,100,prepare
1,kpa_007,KPA_MECHANIZED7,소대,1211,586,24,기관포,24,100,100,100,100,prepare
1,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
1,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
1,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,100,100,100,prepare
1,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
1,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
2,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
2,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
2,kpa_003,KPA_MECHANIZED3,소대,343,628,24,기관포,24,100,100,100,100,prepare
2,kpa_004,KPA_MECHANIZED4,소대,454,615,24,기관포,24,100,100,100,100,prepare
2,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,100,100,100,prepare
2,kpa_006,KPA_MECHANIZED6,소대,1081,559,24,기관포,24,100,100,100,100,prepare
2,kpa_007,KPA_MECHANIZED7,소대,1211,586,24,기관포,24,100,100,100,100,prepare
2,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
2,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
2,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,attack
2,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
2,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
3,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
3,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
3,kpa_003,KPA_MECHANIZED3,소대,343,628,24,기관포,24,100,100,100,100,prepare
3,kpa_004,KPA_MECHANIZED4,소대,454,615,24,기관포,24,100,100,100,100,prepare
3,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,100,100,100,prepare
3,kpa_006,KPA_MECHANIZED6,소대,1081,559,24,기관포,24,100,100,100,100,prepare
3,kpa_007,KPA_MECHANIZED7,소대,1211,586,24,기관포,24,100,100,100,100,prepare
3,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
3,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
3,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
3,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
3,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
4,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
4,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
4,kpa_003,KPA_MECHANIZED3,소대,343,628,24,기관포,24,100,100,100,100,prepare
4,kpa_004,KPA_MECHANIZED4,소대,454,615,24,기관포,24,100,100,100,100,prepare
4,kpa_005,KPA_MECHANIZED5,소대,510,481,24,기관포,24,100,100,100,100,prepare
4,kpa_006,KPA_MECHANIZED6,소대,1081,559,24,기관포,24,100,100,100,100,prepare
4,kpa_007,KPA_MECHANIZED7,소대,1211,586,24,기관포,24,100,100,100,100,prepare
4,kpa_008,KPA_SUPPORT,소대,1402,434,24,소총,24,100,100,100,100,prepare
4,kpa_009,KPA_ANTITANK,소대,1318,341,24,미사일,24,100,100,100,100,prepare
4,kpa_010,KPA_M_ARTILLERY1,중대,875,332,96,자주포,96,100,90,100,100,prepare
4,kpa_011,KPA_M_ARTILLERY2,중대,941,172,96,자주포,96,100,100,100,100,prepare
4,kpa_012,KPA_ROCKET_ARTILLERY,중대,808,131,96,로켓포,96,100,100,100,100,prepare
5,kpa_001,KPA_MECHANIZED1,중대,635,277,96,기관포,96,100,100,100,100,prepare
5,kpa_002,KPA_MECHANIZED2,중대,1331,105,96,기관포,96,100,100,100,100,prepare
5,kpa_003,KPA_MECHANIZED3,소대,343,628,24,기관포,24,100,95,100,100,attack
5,kpa_004,KPA_MECHANIZED4,소대,454,615,24,기관포,24,100,95,100,100,attack
