시간,적 부대식별,유닛 이름,추정위도,추정경도,추정 규모,최근활동,위협도,정보신뢰도,정보출처
0,rok_001,ROK_MECHANIZED1,286,860,대대,정지로 추정,1,30,KPA_M_ARTILLERY1
0,rok_002,ROK_MECHANIZED2,1310,806,중대,정지로 추정,1,30,KPA_M_ARTILLERY1
0,rok_003,ROK_MECHANIZED3,1268,862,대대,정지로 추정,1,30,KPA_M_ARTILLERY1
1,rok_001,ROK_MECHANIZED1,295,787,대대,기동으로 추정,1,40,KPA_M_ARTILLERY1
1,rok_002,ROK_MECHANIZED2,1234,780,중대,기동으로 추정,1,40,KPA_M_ARTILLERY1
1,rok_003,ROK_MECHANIZED3,1300,828,대대,기동으로 추정,1,40,KPA_M_ARTILLERY1
2,rok_001,ROK_MECHANIZED1,295,787,대대,정지로 추정,1,40,KPA_M_ARTILLERY1
2,rok_002,ROK_MECHANIZED2,1234,780,중대,정지로 추정,1,40,KPA_M_ARTILLERY1
2,rok_003,ROK_MECHANIZED3,1300,828,대대,정지로 추정,1,40,KPA_M_ARTILLERY1
3,rok_001,ROK_MECHANIZED1,295,787,대대,피해입음 추정,1,90,KPA_M_ARTILLERY1
3,rok_002,ROK_MECHANIZED2,1234,780,중대,피해입음 추정,1,90,KPA_M_ARTILLERY1
3,rok_003,ROK_MECHANIZED3,1300,828,대대,피해입음 추정,1,90,KPA_M_ARTILLERY1
4,rok_001,ROK_MECHANIZED1,366,732,대대,기동으로 추정,2,90,KPA_M_ARTILLERY1
4,rok_002,ROK_MECHANIZED2,1186,728,중대,기동으로 추정,1,90,KPA_M_ARTILLERY1
4,rok_003,ROK_MECHANIZED3,1276,781,대대,기동으로 추정,1,90,KPA_M_ARTILLERY1
5,rok_001,ROK_MECHANIZED1,366,732,대대,대기 중 추정,2,90,KPA_M_ARTILLERY1
5,rok_002,ROK_MECHANIZED2,1186,728,중대,대기 중 추정,1,90,KPA_M_ARTILLERY1
5,rok_003,ROK_MECHANIZED3,1276,781,대대,대기 중 추정,1,90,KPA_M_ARTILLERY1
6,rok_001,ROK_MECHANIZED1,366,732,대대,피해입음 추정,2,90,KPA_M_ARTILLERY1
6,rok_002,ROK_MECHANIZED2,1186,728,중대,피해입음 추정,1,90,KPA_M_ARTILLERY1
6,rok_003,ROK_MECHANIZED3,1276,781,대대,피해입음 추정,1,90,KPA_M_ARTILLERY1
7,rok_001,ROK_MECHANIZED1,366,732,대대,대기 중 추정,2,90,KPA_M_ARTILLERY1
7,rok_002,ROK_MECHANIZED2,1186,728,중대,대기 중 추정,1,90,KPA_M_ARTILLERY1
7,rok_003,ROK_MECHANIZED3,1276,781,대대,대기 중 추정,1,90,KPA_M_ARTILLERY1
8,rok_001,ROK_MECHANIZED1,461,691,대대,기동으로 추정,1,90,KPA_M_ARTILLERY1
8,rok_002,ROK_MECHANIZED2,1163,668,중대,기동으로 추정,1,90,KPA_M_ARTILLERY1
8,rok_003,ROK_MECHANIZED3,1244,744,대대,기동으로 추정,1,90,KPA_M_ARTILLERY1
9,rok_001,ROK_MECHANIZED1,542,626,대대,기동으로 추정,3,90,KPA_M_ARTILLERY1
9,rok_002,ROK_MECHANIZED2,1138,573,중대,기동으로 추정,1,90,KPA_M_ARTILLERY1
9,rok_003,ROK_MECHANIZED3,1189,699,대대,기동으로 추정,1,90,KPA_M_ARTILLERY1
10,rok_001,ROK_MECHANIZED1,542,626,대대,대기 중 추정,3,90,KPA_M_ARTILLERY1
10,rok_002,ROK_MECHANIZED2,1130,490,중대,기동으로 추정,2,90,KPA_M_ARTILLERY1
10,rok_003,ROK_MECHANIZED3,1156,631,대대,기동으로 추정,1,90,KPA_M_ARTILLERY1
11,rok_001,ROK_MECHANIZED1,542,626,대대,피해입음 추정,1,90,KPA_M_ARTILLERY1
11,rok_002,ROK_MECHANIZED2,1136,439,중대,기동으로 추정,3,90,KPA_M_ARTILLERY1
11,rok_003,ROK_MECHANIZED3,1134,580,대대,기동으로 추정,1,90,KPA_M_ARTILLERY1
12,rok_001,ROK_MECHANIZED1,542,626,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
12,rok_002,ROK_MECHANIZED2,1169,364,중대,기동으로 추정,4,90,KPA_M_ARTILLERY1
12,rok_003,ROK_MECHANIZED3,1125,516,대대,기동으로 추정,2,90,KPA_M_ARTILLERY1
13,rok_001,ROK_MECHANIZED1,542,626,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
13,rok_002,ROK_MECHANIZED2,1222,288,중대,기동으로 추정,4,90,KPA_M_ARTILLERY1
13,rok_003,ROK_MECHANIZED3,1142,444,대대,기동으로 추정,3,90,KPA_M_ARTILLERY1
14,rok_001,ROK_MECHANIZED1,542,626,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
14,rok_002,ROK_MECHANIZED2,1235,194,중대,기동으로 추정,5,90,KPA_M_ARTILLERY1
14,rok_003,ROK_MECHANIZED3,1172,385,대대,기동으로 추정,4,90,KPA_M_ARTILLERY1
15,rok_001,ROK_MECHANIZED1,542,626,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
15,rok_002,ROK_MECHANIZED2,1235,194,중대,전멸된 것으로 추정,1,90,KPA_M_ARTILLERY1
15,rok_003,ROK_MECHANIZED3,1172,385,대대,대기 중 추정,4,90,KPA_M_ARTILLERY1
16,rok_001,ROK_MECHANIZED1,542,626,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
16,rok_002,ROK_MECHANIZED2,1235,194,중대,전멸된 것으로 추정,1,90,KPA_M_ARTILLERY1
16,rok_003,ROK_MECHANIZED3,1172,385,대대,대기 중 추정,4,90,KPA_M_ARTILLERY1
17,rok_001,ROK_MECHANIZED1,542,626,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
17,rok_002,ROK_MECHANIZED2,1235,194,중대,전멸된 것으로 추정,1,90,KPA_M_ARTILLERY1
17,rok_003,ROK_MECHANIZED3,1172,385,대대,대기 중 추정,4,90,KPA_M_ARTILLERY1
18,rok_001,ROK_MECHANIZED1,542,626,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
18,rok_002,ROK_MECHANIZED2,1235,194,중대,전멸된 것으로 추정,1,90,KPA_M_ARTILLERY1
18,rok_003,ROK_MECHANIZED3,1172,385,대대,피해입음 추정,2,90,KPA_M_ARTILLERY1
19,rok_001,ROK_MECHANIZED1,542,626,대대,고립된것으로 추정,1,90,KPA_M_ARTILLERY1
19,rok_002,ROK_MECHANIZED2,1235,194,중대,전멸된 것으로 추정,1,90,KPA_M_ARTILLERY1
19,rok_003,ROK_MECHANIZED3,1172,385,대대,전멸된 것으로 추정,1,90,KPA_M_ARTILLERY1
