시간,적부대식별,유닛이름,추정위도,추정경도,추정규모,최근활동,위협도,정보신뢰도,정보출처
5,rok_001,ROK_MECHANIZED1,286,40,대대,정지로 추정,1,30,KPA_M_ARTILLERY1
5,rok_002,ROK_MECHANIZED2,1310,94,중대,정지로 추정,1,30,KPA_M_ARTILLERY1
5,rok_003,ROK_MECHANIZED3,1268,38,대대,정지로 추정,1,30,KPA_M_ARTILLERY1
6,rok_001,ROK_MECHANIZED1,295,113,대대,기동으로 추정,1,40,KPA_M_ARTILLERY1
6,rok_002,ROK_MECHANIZED2,1234,120,중대,기동으로 추정,1,40,KPA_M_ARTILLERY1
6,rok_003,ROK_MECHANIZED3,1300,72,대대,기동으로 추정,1,40,KPA_M_ARTILLERY1
7,rok_001,ROK_MECHANIZED1,295,113,대대,정지로 추정,1,40,KPA_M_ARTILLERY1
7,rok_002,ROK_MECHANIZED2,1234,120,중대,정지로 추정,1,40,KPA_M_ARTILLERY1
7,rok_003,ROK_MECHANIZED3,1300,72,대대,정지로 추정,1,40,KPA_M_ARTILLERY1
8,rok_001,ROK_MECHANIZED1,295,113,대대,피해입음 추정,1,90,KPA_M_ARTILLERY1
8,rok_002,ROK_MECHANIZED2,1234,120,중대,피해입음 추정,1,90,KPA_M_ARTILLERY1
8,rok_003,ROK_MECHANIZED3,1300,72,대대,피해입음 추정,1,90,KPA_M_ARTILLERY1
9,rok_001,ROK_MECHANIZED1,366,168,대대,기동으로 추정,2,90,KPA_M_ARTILLERY1
9,rok_002,ROK_MECHANIZED2,1186,172,중대,기동으로 추정,1,90,KPA_M_ARTILLERY1
9,rok_003,ROK_MECHANIZED3,1276,119,대대,기동으로 추정,1,90,KPA_M_ARTILLERY1
10,rok_001,ROK_MECHANIZED1,366,168,대대,대기 중 추정,2,90,KPA_M_ARTILLERY1
10,rok_002,ROK_MECHANIZED2,1186,172,중대,대기 중 추정,1,90,KPA_M_ARTILLERY1
10,rok_003,ROK_MECHANIZED3,1276,119,대대,대기 중 추정,1,90,KPA_M_ARTILLERY1
11,rok_001,ROK_MECHANIZED1,366,168,대대,피해입음 추정,2,90,KPA_M_ARTILLERY1
11,rok_002,ROK_MECHANIZED2,1186,172,중대,피해입음 추정,1,90,KPA_M_ARTILLERY1
11,rok_003,ROK_MECHANIZED3,1276,119,대대,피해입음 추정,1,90,KPA_M_ARTILLERY1
12,rok_001,ROK_MECHANIZED1,366,168,대대,대기 중 추정,2,90,KPA_M_ARTILLERY1
12,rok_002,ROK_MECHANIZED2,1186,172,중대,대기 중 추정,1,90,KPA_M_ARTILLERY1
12,rok_003,ROK_MECHANIZED3,1276,119,대대,대기 중 추정,1,90,KPA_M_ARTILLERY1
13,rok_001,ROK_MECHANIZED1,461,209,대대,기동으로 추정,1,90,KPA_M_ARTILLERY1
13,rok_002,ROK_MECHANIZED2,1163,232,중대,기동으로 추정,1,90,KPA_M_ARTILLERY1
13,rok_003,ROK_MECHANIZED3,1244,156,대대,기동으로 추정,1,90,KPA_M_ARTILLERY1
14,rok_001,ROK_MECHANIZED1,542,274,대대,기동으로 추정,3,90,KPA_M_ARTILLERY1
14,rok_002,ROK_MECHANIZED2,1138,327,중대,기동으로 추정,1,90,KPA_M_ARTILLERY1
14,rok_003,ROK_MECHANIZED3,1189,201,대대,기동으로 추정,1,90,KPA_M_ARTILLERY1
15,rok_001,ROK_MECHANIZED1,542,274,대대,대기 중 추정,3,90,KPA_M_ARTILLERY1
15,rok_002,ROK_MECHANIZED2,1130,410,중대,기동으로 추정,2,90,KPA_M_ARTILLERY1
