 시간,피아구분,부대id,부대명,,x좌표,y좌표,탐지거리,탐지여부,전투력,상황
0,0,,KPA_PLATOON1,,46,223.5,0,0,100,KPA 부대가 임무 수행을 위해 초기 위치에서 대기
0,0,,KPA_PLATOON2,,51.6,190.9,130,0,100,KPA 부대가 임무 수행을 위해 초기 위치에서 대기
0,0,,KPA_LEADER,,95.2,194.9,0,0,100,KPA 부대가 임무 수행을 위해 초기 위치에서 대기
0,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,KPA 부대가 임무 수행을 위해 초기 위치에서 대기
0,0,,KPA_SQUAD,,197.8,181.9,0,0,100,KPA 부대가 임무 수행을 위해 초기 위치에서 대기
0,0,,KPA_SECTION,,204.3,254.3,0,0,100,KPA 부대가 임무 수행을 위해 초기 위치에서 대기
0,0,,KPA_SECTION2,,449.1,254.3,130,0,100,KPA 부대가 임무 수행을 위해 초기 위치에서 대기
0,1,,ROK_SQUAD,,350.4,95.9,0,1,100,KPA 부대가 임무 수행을 위해 초기 위치에서 대기
0,1,,ROK_SQUAD2,,295.1,49.5,0,1,100,KPA 부대가 임무 수행을 위해 초기 위치에서 대기
0,1,,ROK_LEADER,,378.8,55.2,0,1,100,KPA 부대가 임무 수행을 위해 초기 위치에서 대기
1,0,,KPA_PLATOON1,,46,223.5,0,0,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
1,0,,KPA_PLATOON2,,63.7,144.8,130,0,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
1,0,,KPA_LEADER,,95.2,194.9,0,0,100,
1,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,
1,0,,KPA_SQUAD,,197.8,181.9,0,0,100,
1,0,,KPA_SECTION,,204.3,254.3,0,0,100,
1,0,,KPA_SECTION2,,428.9,221.6,130,0,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
1,1,,ROK_SQUAD,,336.1,108,0,1,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
1,1,,ROK_SQUAD2,,288.5,66.8,0,1,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
1,1,,ROK_LEADER,,361.8,62.2,0,1,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
2,0,,KPA_PLATOON1,,46,223.5,0,0,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
2,0,,KPA_PLATOON2,,94.4,110.9,130,0,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
2,0,,KPA_LEADER,,95.2,194.9,0,0,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
2,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
2,0,,KPA_SQUAD,,197.8,181.9,0,0,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
2,0,,KPA_SECTION,,204.3,254.3,0,0,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
2,0,,KPA_SECTION2,,442.6,186.8,130,0,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
2,1,,ROK_SQUAD,,332.4,129.3,0,1,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
2,1,,ROK_SQUAD2,,276.2,80.9,0,1,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
2,1,,ROK_LEADER,,357.8,77.2,0,1,100,CDET 보안요소 두개의 부대가 정찰을 위해 이동
3,0,,KPA_PLATOON1,,46,223.5,0,0,100,CDET 1개 보안부대가 CDET(중대분견대) 지휘관에게 적을 탐지 후 적의 접근을 경고하며 선두 적 요소와 교전하지 않고 계속 보고
3,0,,KPA_PLATOON2,,134,99.6,130,0,100,CDET 1개 보안부대가 CDET(중대분견대) 지휘관에게 적을 탐지 후 적의 접근을 경고하며 선두 적 요소와 교전하지 않고 계속 보고
3,0,,KPA_LEADER,,95.2,194.9,0,0,100,CDET 1개 보안부대가 CDET(중대분견대) 지휘관에게 적을 탐지 후 적의 접근을 경고하며 선두 적 요소와 교전하지 않고 계속 보고
3,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,CDET 1개 보안부대가 CDET(중대분견대) 지휘관에게 적을 탐지 후 적의 접근을 경고하며 선두 적 요소와 교전하지 않고 계속 보고
3,0,,KPA_SQUAD,,197.8,181.9,0,0,100,CDET 1개 보안부대가 CDET(중대분견대) 지휘관에게 적을 탐지 후 적의 접근을 경고하며 선두 적 요소와 교전하지 않고 계속 보고
3,0,,KPA_SECTION,,222.1,245.8,0,0,100,CDET 1개 보안부대가 CDET(중대분견대) 지휘관에게 적을 탐지 후 적의 접근을 경고하며 선두 적 요소와 교전하지 않고 계속 보고
3,0,,KPA_SECTION2,,420,165.8,130,0,100,CDET 1개 보안부대가 CDET(중대분견대) 지휘관에게 적을 탐지 후 적의 접근을 경고하며 선두 적 요소와 교전하지 않고 계속 보고
3,1,,ROK_SQUAD,,322.4,150.2,0,2,100,CDET 1개 보안부대가 CDET(중대분견대) 지휘관에게 적을 탐지 후 적의 접근을 경고하며 선두 적 요소와 교전하지 않고 계속 보고
3,1,,ROK_SQUAD2,,256.1,87.5,0,1,100,CDET 1개 보안부대가 CDET(중대분견대) 지휘관에게 적을 탐지 후 적의 접근을 경고하며 선두 적 요소와 교전하지 않고 계속 보고
3,1,,ROK_LEADER,,366.8,85.2,0,2,100,CDET 1개 보안부대가 CDET(중대분견대) 지휘관에게 적을 탐지 후 적의 접근을 경고하며 선두 적 요소와 교전하지 않고 계속 보고
4,0,,KPA_PLATOON1,,46,223.5,0,0,100,"CDET 다른 1개 보안부대가 서쪽 측면에서 적 보안부대 전진 관찰 후 진지 점령, 박격포 부대에 고정임무 하달"
4,0,,KPA_PLATOON2,,162.2,101.4,130,0,100,"CDET 다른 1개 보안부대가 서쪽 측면에서 적 보안부대 전진 관찰 후 진지 점령, 박격포 부대에 고정임무 하달"
4,0,,KPA_LEADER,,95.2,194.9,0,0,100,"CDET 다른 1개 보안부대가 서쪽 측면에서 적 보안부대 전진 관찰 후 진지 점령, 박격포 부대에 고정임무 하달"
4,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,"CDET 다른 1개 보안부대가 서쪽 측면에서 적 보안부대 전진 관찰 후 진지 점령, 박격포 부대에 고정임무 하달"
4,0,,KPA_SQUAD,,197.8,181.9,0,0,100,"CDET 다른 1개 보안부대가 서쪽 측면에서 적 보안부대 전진 관찰 후 진지 점령, 박격포 부대에 고정임무 하달"
4,0,,KPA_SECTION,,242.3,230.3,0,0,100,"CDET 다른 1개 보안부대가 서쪽 측면에서 적 보안부대 전진 관찰 후 진지 점령, 박격포 부대에 고정임무 하달"
4,0,,KPA_SECTION2,,420,165.8,130,0,100,"CDET 다른 1개 보안부대가 서쪽 측면에서 적 보안부대 전진 관찰 후 진지 점령, 박격포 부대에 고정임무 하달"
4,1,,ROK_SQUAD,,310.4,165.6,0,2,100,"CDET 다른 1개 보안부대가 서쪽 측면에서 적 보안부대 전진 관찰 후 진지 점령, 박격포 부대에 고정임무 하달"
4,1,,ROK_SQUAD2,,253.1,110.5,0,2,100,"CDET 다른 1개 보안부대가 서쪽 측면에서 적 보안부대 전진 관찰 후 진지 점령, 박격포 부대에 고정임무 하달"
4,1,,ROK_LEADER,,355.2,110.1,0,2,100,"CDET 다른 1개 보안부대가 서쪽 측면에서 적 보안부대 전진 관찰 후 진지 점령, 박격포 부대에 고정임무 하달"
5,0,,KPA_PLATOON1,,46,223.5,0,0,100,CDET 고정요소 부대가 적 순찰대를 매복 공격하기 위해 사격 진지로 기동
5,0,,KPA_PLATOON2,,162.2,101.4,130,0,100,CDET 고정요소 부대가 적 순찰대를 매복 공격하기 위해 사격 진지로 기동
5,0,,KPA_LEADER,,95.2,194.9,0,0,100,CDET 고정요소 부대가 적 순찰대를 매복 공격하기 위해 사격 진지로 기동
5,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,CDET 고정요소 부대가 적 순찰대를 매복 공격하기 위해 사격 진지로 기동
5,0,,KPA_SQUAD,,235.8,192.9,0,0,100,CDET 고정요소 부대가 적 순찰대를 매복 공격하기 위해 사격 진지로 기동
5,0,,KPA_SECTION,,263.3,212.3,0,0,100,CDET 고정요소 부대가 적 순찰대를 매복 공격하기 위해 사격 진지로 기동
5,0,,KPA_SECTION2,,420,165.8,130,0,100,CDET 고정요소 부대가 적 순찰대를 매복 공격하기 위해 사격 진지로 기동
5,1,,ROK_SQUAD,,310.4,165.6,0,2,100,CDET 고정요소 부대가 적 순찰대를 매복 공격하기 위해 사격 진지로 기동
5,1,,ROK_SQUAD2,,253.1,110.5,0,2,100,CDET 고정요소 부대가 적 순찰대를 매복 공격하기 위해 사격 진지로 기동
5,1,,ROK_LEADER,,355.2,110.1,0,2,100,CDET 고정요소 부대가 적 순찰대를 매복 공격하기 위해 사격 진지로 기동
6,0,,KPA_PLATOON1,,46,223.5,0,0,100,적 보안요소 발견 후 교전 돌입
6,0,,KPA_PLATOON2,,162.2,101.4,130,0,100,적 보안요소 발견 후 교전 돌입
6,0,,KPA_LEADER,,95.2,194.9,0,0,100,적 보안요소 발견 후 교전 돌입
6,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,적 보안요소 발견 후 교전 돌입
6,0,,KPA_SQUAD,,235.8,192.9,0,0,100,적 보안요소 발견 후 교전 돌입
6,0,,KPA_SECTION,,263.3,212.3,0,0,100,적 보안요소 발견 후 교전 돌입
6,0,,KPA_SECTION2,,420,165.8,130,0,100,적 보안요소 발견 후 교전 돌입
6,1,,ROK_SQUAD,,310.4,165.6,0,2,100,적 보안요소 발견 후 교전 돌입
6,1,,ROK_SQUAD2,,253.1,110.5,0,2,100,적 보안요소 발견 후 교전 돌입
6,1,,ROK_LEADER,,355.2,110.1,0,2,100,적 보안요소 발견 후 교전 돌입
7,0,,KPA_PLATOON1,,46,223.5,0,0,100,CDET 보안요소와 진지 점령부대가 적 보안요소 파괴
7,0,,KPA_PLATOON2,,162.2,101.4,130,0,100,CDET 보안요소와 진지 점령부대가 적 보안요소 파괴
7,0,,KPA_LEADER,,95.2,194.9,0,0,100,CDET 보안요소와 진지 점령부대가 적 보안요소 파괴
7,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,CDET 보안요소와 진지 점령부대가 적 보안요소 파괴
7,0,,KPA_SQUAD,,235.8,192.9,0,0,50,CDET 보안요소와 진지 점령부대가 적 보안요소 파괴
7,0,,KPA_SECTION,,263.3,212.3,0,0,75,CDET 보안요소와 진지 점령부대가 적 보안요소 파괴
7,0,,KPA_SECTION2,,420,165.8,130,0,100,CDET 보안요소와 진지 점령부대가 적 보안요소 파괴
7,1,,ROK_SQUAD,,310.4,165.6,0,2,0,CDET 보안요소와 진지 점령부대가 적 보안요소 파괴
7,1,,ROK_SQUAD2,,253.1,110.5,0,2,0,CDET 보안요소와 진지 점령부대가 적 보안요소 파괴
7,1,,ROK_LEADER,,355.2,110.1,0,2,100,CDET 보안요소와 진지 점령부대가 적 보안요소 파괴
8,0,,KPA_PLATOON1,,46,223.5,0,0,100,적 보안요소 파괴 후 남동쪽으로 기동
8,0,,KPA_PLATOON2,,190.2,110.4,130,0,100,적 보안요소 파괴 후 남동쪽으로 기동
8,0,,KPA_LEADER,,95.2,194.9,0,0,100,적 보안요소 파괴 후 남동쪽으로 기동
8,0,,KPA_ARTILLERY,,138.9,239.7,0,0,100,적 보안요소 파괴 후 남동쪽으로 기동
8,0,,KPA_SQUAD,,228.8,168.9,0,0,50,적 보안요소 파괴 후 남동쪽으로 기동
8,0,,KPA_SECTION,,263.3,185,0,0,75,적 보안요소 파괴 후 남동쪽으로 기동
8,0,,KPA_SECTION2,,420,165.8,130,0,100,적 보안요소 파괴 후 남동쪽으로 기동
