 시간,피아구분,부대명,x좌표,y좌표,탐지거리,탐지여부,무장장비,탄약수량,전투력,주요상황
0,0,KPA_PLATOON1,46,223.5,0,0,소총,200,100,
0,0,KPA_PLATOON2,51.6,190.9,130,0,소총,200,100,
0,0,KPA_LEADER,95.2,194.9,0,0,소총,200,100,
0,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,30,100,
0,0,KPA_SQUAD,197.8,181.9,0,0,소총,200,100,
0,0,KPA_SECTION,204.3,254.3,0,0,소총,200,100,
0,0,KPA_SECTION2,449.1,254.3,130,0,소총,200,100,
0,1,ROK_SQUAD,350.4,95.9,0,1,소총,200,100,
0,1,ROK_SQUAD2,295.1,49.5,0,1,소총,200,100,
0,1,ROK_LEADER,378.8,55.2,0,1,소총,200,100,
1,0,KPA_PLATOON1,46,223.5,0,0,소총,200,100,
1,0,KPA_PLATOON2,63.7,144.8,130,0,소총,200,100,적을 탐지하며 기동
1,0,KPA_LEADER,95.2,194.9,0,0,소총,200,100,
1,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,30,100,
1,0,KPA_SQUAD,197.8,181.9,0,0,소총,200,100,
1,0,KPA_SECTION,204.3,254.3,0,0,소총,200,100,
1,0,KPA_SECTION2,428.9,221.6,130,0,소총,200,100,적을 탐지하며 기동
1,1,ROK_SQUAD,336.1,108,0,1,소총,200,100,기동
1,1,ROK_SQUAD2,288.5,66.8,0,1,소총,200,100,기동
1,1,ROK_LEADER,361.8,62.2,0,1,소총,200,100,기동
2,0,KPA_PLATOON1,46,223.5,0,0,소총,200,100,
2,0,KPA_PLATOON2,94.4,110.9,130,0,소총,200,100,적을 탐지하며 기동
2,0,KPA_LEADER,95.2,194.9,0,0,소총,200,100,
2,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,30,100,
2,0,KPA_SQUAD,197.8,181.9,0,0,소총,200,100,
2,0,KPA_SECTION,204.3,254.3,0,0,소총,200,100,
2,0,KPA_SECTION2,442.6,186.8,130,0,소총,200,100,적을 탐지하며 기동
2,1,ROK_SQUAD,332.4,129.3,0,1,소총,200,100,기동
2,1,ROK_SQUAD2,276.2,80.9,0,1,소총,200,100,기동
2,1,ROK_LEADER,357.8,77.2,0,1,소총,200,100,기동
3,0,KPA_PLATOON1,46,223.5,0,0,소총,200,100,
3,0,KPA_PLATOON2,134,99.6,130,0,소총,200,100,기동 후 적 2개 부대 탐지
3,0,KPA_LEADER,95.2,194.9,0,0,소총,200,100,
3,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,30,100,
3,0,KPA_SQUAD,197.8,181.9,0,0,소총,200,100,
3,0,KPA_SECTION,222.1,245.8,0,0,소총,200,100,기동
3,0,KPA_SECTION2,420,165.8,130,0,소총,200,100,적을 탐지하며 기동
3,1,ROK_SQUAD,322.4,150.2,0,2,소총,200,100,기동
3,1,ROK_SQUAD2,256.1,87.5,0,1,소총,200,100,기동
3,1,ROK_LEADER,366.8,85.2,0,2,소총,200,100,기동
4,0,KPA_PLATOON1,46,223.5,0,0,소총,200,100,
4,0,KPA_PLATOON2,162.2,101.4,130,0,소총,200,100,
4,0,KPA_LEADER,95.2,194.9,0,0,소총,200,100,
4,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,30,100,
4,0,KPA_SQUAD,197.8,181.9,0,0,소총,200,100,
4,0,KPA_SECTION,242.3,230.3,0,0,소총,200,100,기동
4,0,KPA_SECTION2,420,165.8,130,0,소총,200,100,기동 후 적 1개 부대 탐지
4,1,ROK_SQUAD,310.4,165.6,0,2,소총,200,100,기동
4,1,ROK_SQUAD2,253.1,110.5,0,2,소총,200,100,기동
4,1,ROK_LEADER,355.2,110.1,0,2,소총,200,100,기동
5,0,KPA_PLATOON1,46,223.5,0,0,소총,200,100,
5,0,KPA_PLATOON2,162.2,101.4,130,0,소총,200,100,
5,0,KPA_LEADER,95.2,194.9,0,0,소총,200,100,
5,0,KPA_ARTILLERY,138.9,239.7,0,0,박격포,30,100,
5,0,KPA_SQUAD,235.8,192.9,0,0,소총,200,100,기동
5,0,KPA_SECTION,263.3,212.3,0,0,소총,200,100,기동
5,0,KPA_SECTION2,420,165.8,130,0,소총,200,100,
5,1,ROK_SQUAD,310.4,165.6,0,2,소총,200,100,
5,1,ROK_SQUAD2,253.1,110.5,0,2,소총,200,100,
5,1,ROK_LEADER,355.2,110.1,0,2,소총,200,100,
6,0,KPA_PLATOON1,46,223.5,0,0,소총,200,100,
6,0,KPA_PLATOON2,162.2,101.4,130,0,소총,200,100,
